filepath,layer,language,frequency
0shot_czech_arabic_predictions.csv,17,ces,1.4399999999999993
0shot_czech_arabic_predictions.csv,17,ara,0.0556
0shot_czech_arabic_predictions.csv,18,ces,4.9061
0shot_czech_arabic_predictions.csv,18,eng,34.69799999999995
0shot_czech_arabic_predictions.csv,18,ara,0.28959999999999986
0shot_czech_arabic_predictions.csv,19,eng,179.24170000000038
0shot_czech_arabic_predictions.csv,19,ces,4.834399999999991
0shot_czech_arabic_predictions.csv,19,ara,0.9805999999999997
0shot_czech_arabic_predictions.csv,20,eng,297.90649999999977
0shot_czech_arabic_predictions.csv,20,ces,4.195000000000002
0shot_czech_arabic_predictions.csv,20,ara,1.4275999999999995
0shot_czech_arabic_predictions.csv,21,eng,451.9138000000006
0shot_czech_arabic_predictions.csv,21,ces,4.086100000000001
0shot_czech_arabic_predictions.csv,21,ara,2.0047
0shot_czech_arabic_predictions.csv,22,eng,439.7178000000003
0shot_czech_arabic_predictions.csv,22,ces,5.0768999999999975
0shot_czech_arabic_predictions.csv,22,ara,2.9247000000000014
0shot_czech_arabic_predictions.csv,23,eng,437.9865000000008
0shot_czech_arabic_predictions.csv,23,ces,8.971300000000001
0shot_czech_arabic_predictions.csv,23,ara,2.892399999999998
0shot_czech_arabic_predictions.csv,24,eng,459.1747999999994
0shot_czech_arabic_predictions.csv,24,ces,9.870800000000003
0shot_czech_arabic_predictions.csv,24,ara,6.4985
0shot_czech_arabic_predictions.csv,25,ara,33.79949999999999
0shot_czech_arabic_predictions.csv,25,eng,386.1846999999992
0shot_czech_arabic_predictions.csv,25,ces,13.158499999999997
0shot_czech_arabic_predictions.csv,26,ara,48.704399999999964
0shot_czech_arabic_predictions.csv,26,eng,349.28419999999977
0shot_czech_arabic_predictions.csv,26,ces,20.0154
0shot_czech_arabic_predictions.csv,27,ara,99.32329999999986
0shot_czech_arabic_predictions.csv,27,ces,53.241299999999974
0shot_czech_arabic_predictions.csv,27,eng,206.15579999999966
0shot_czech_arabic_predictions.csv,28,ara,129.98370000000003
0shot_czech_arabic_predictions.csv,28,eng,30.267500000000002
0shot_czech_arabic_predictions.csv,28,ces,2.9701000000000013
0shot_czech_arabic_predictions.csv,12,ces,1.1460999999999981
0shot_czech_arabic_predictions.csv,12,eng,1.043399999999998
0shot_czech_arabic_predictions.csv,6,eng,0.9230999999999988
0shot_czech_arabic_predictions.csv,6,ces,0.22910000000000005
5shot_czech_arabic_predictions.csv,1,ces,1000.0
5shot_czech_arabic_predictions.csv,1,ara,0.0
5shot_czech_arabic_predictions.csv,2,ces,545.8980000000028
5shot_czech_arabic_predictions.csv,2,eng,0.03899999999999999
5shot_czech_arabic_predictions.csv,2,ara,0.008700000000000001
5shot_czech_arabic_predictions.csv,3,ces,7.818299999999977
5shot_czech_arabic_predictions.csv,3,eng,0.3178000000000002
5shot_czech_arabic_predictions.csv,4,ces,3.640400000000001
5shot_czech_arabic_predictions.csv,4,eng,0.6909000000000001
5shot_czech_arabic_predictions.csv,6,eng,1.2567999999999981
5shot_czech_arabic_predictions.csv,6,ces,1.0237999999999987
5shot_czech_arabic_predictions.csv,6,ara,0.01
5shot_czech_arabic_predictions.csv,7,eng,2.4007000000000014
5shot_czech_arabic_predictions.csv,7,ces,1.3323000000000016
5shot_czech_arabic_predictions.csv,10,eng,1.599500000000003
5shot_czech_arabic_predictions.csv,10,ces,0.48430000000000023
5shot_czech_arabic_predictions.csv,10,ara,0.041100000000000005
5shot_czech_arabic_predictions.csv,11,ces,3.4628999999999888
5shot_czech_arabic_predictions.csv,11,eng,1.4226000000000014
5shot_czech_arabic_predictions.csv,11,ara,0.0014
5shot_czech_arabic_predictions.csv,12,eng,1.140600000000001
5shot_czech_arabic_predictions.csv,12,ces,2.967899999999996
5shot_czech_arabic_predictions.csv,12,ara,0.2526
5shot_czech_arabic_predictions.csv,13,eng,0.7505999999999989
5shot_czech_arabic_predictions.csv,13,ces,2.154100000000009
5shot_czech_arabic_predictions.csv,13,ara,0.0104
5shot_czech_arabic_predictions.csv,14,eng,2.6344999999999983
5shot_czech_arabic_predictions.csv,14,ces,1.6425000000000054
5shot_czech_arabic_predictions.csv,14,ara,0.017599999999999998
5shot_czech_arabic_predictions.csv,16,ara,0.8049999999999994
5shot_czech_arabic_predictions.csv,16,eng,35.11290000000003
